ID,glc__D_e,xyl__D_e,succ_e,ala__L_e,arg__L_e,asn__L_e,asp__L_e,cys__L_e,glu__L_e,gln__L_e,gly_e,his__L_e,ile__L_e,leu__L_e,lys__L_e,met__L_e,phe__L_e,pro__L_e,ser__L_e,thr__L_e,trp__L_e,tyr__L_e,val__L_e,ade_e,gua_e,csn_e,ura_e,thymd_e
69,44.40497336,0,0,0.8,5.2,0.4,0.4,0,0.55,0.615,0,0,0.4,0.8,0,0,0,0.4,0,0,0,0,0.6,0,0,0,0,0
70,44.40497336,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,10,0.4,0,0,0,0,0,0,0,0
71,44.40497336,0,0,0.8,0,0.4,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,44.40497336,0,0,0.8,0,0.4,0.4,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,44.40497336,0,0,0,0,0,0,0,0.55,0.615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,44.40497336,0,0,0,5.2,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0
75,44.40497336,0,0,0,0,0,0,0,0,0,0,0,0.4,0.8,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0
76,44.40497336,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0
77,44.40497336,0,0,0,5.2,0,0,0.1,0,0,0,0,0,0,0,0.2,0,0.4,0,0,0,0,0,0,0,0,0,0
78,44.40497336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0.1,0.2,0,0,0,0,0,0
79,44.40497336,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
80,44.40497336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0,0
81,44.40497336,0,0,0,5.2,0,0,0.1,0,0,0,0.2,0.4,0.8,0.5,0.2,0.4,0.4,0,0,0.1,0.2,0.6,0,0,0.2,0.2,0.2
